,TFIDF-UNIPROT-1024,TFIDF-UNIPROT-256,TFIDF-UNIPROT-512,TFIDF-UNIPROT-PUBMED-1024,TFIDF-UNIPROT-PUBMED-256,TFIDF-UNIPROT-PUBMED-512,UNIPROT-BERT-AVG,UNIPROT-BERT-POOL,UNIPROT-BIOSENTVEC,UNIPROT-BIOWORDVEC,UNIPROT-PUBMED-BERT-AVG,UNIPROT-PUBMED-BERT-POOL,UNIPROT-PUBMED-BIOSENTVEC,UNIPROT-PUBMED-BIOWORDVEC
TFIDF-UNIPROT-1024,1.0,0.11151632498511978,0.023077467686252625,0.012821711431281597,0.863750508258187,0.019464334053708916,5.920419841848927e-06,1.690478476263301e-07,0.34207104725890425,0.0005149757801868702,1.8996807717673973e-06,1.641431162211293e-07,0.6133159578256644,1.690478476263301e-07
TFIDF-UNIPROT-256,0.11151632498511978,1.0,0.863750508258187,0.0027845409890813267,0.08424112674743711,0.0012507213530905813,4.2378619605977575e-05,1.641431162211293e-07,0.6052772529744652,0.0005612526815370036,1.1975339706728855e-06,1.641431162211293e-07,0.2840484426407175,1.9692542053632915e-07
TFIDF-UNIPROT-512,0.023077467686252625,0.863750508258187,1.0,0.00021549469612167898,0.012511738012640439,4.411193406404568e-05,0.00038275224461146393,1.7559861278052424e-07,0.43958811844459766,0.0008150230719980542,3.5719564310072903e-06,1.641431162211293e-07,0.542828188757971,1.690478476263301e-07
TFIDF-UNIPROT-PUBMED-1024,0.012821711431281597,0.0027845409890813267,0.00021549469612167898,1.0,0.03872305405583102,0.8935364045959462,3.7292240353271405e-06,1.641431162211293e-07,0.0006272970709410279,1.760797532137509e-05,1.641431162211293e-07,1.641431162211293e-07,0.0027845409890813267,1.641431162211293e-07
TFIDF-UNIPROT-PUBMED-256,0.863750508258187,0.08424112674743711,0.012511738012640439,0.03872305405583102,1.0,0.018886779364628903,2.2764838653545925e-06,1.641431162211293e-07,0.12671681294195583,5.430954969750522e-06,5.018680003928754e-07,1.641431162211293e-07,0.20894692907538187,1.641431162211293e-07
TFIDF-UNIPROT-PUBMED-512,0.019464334053708916,0.0012507213530905813,4.411193406404568e-05,0.8935364045959462,0.018886779364628903,1.0,8.397752165639919e-07,1.641431162211293e-07,0.00013181410814620527,1.146375679522861e-06,1.641431162211293e-07,1.641431162211293e-07,0.005809895757738547,1.641431162211293e-07
UNIPROT-BERT-AVG,5.920419841848927e-06,4.2378619605977575e-05,0.00038275224461146393,3.7292240353271405e-06,2.2764838653545925e-06,8.397752165639919e-07,1.0,8.753800617971361e-07,5.920419841848927e-06,0.7648147973822815,0.019464334053708916,8.062178925873602e-07,4.874348199387935e-05,9.803399226599684e-07
UNIPROT-BERT-POOL,1.690478476263301e-07,1.641431162211293e-07,1.7559861278052424e-07,1.641431162211293e-07,1.641431162211293e-07,1.641431162211293e-07,8.753800617971361e-07,1.0,1.641431162211293e-07,1.098013028983655e-06,1.8360843007811544e-05,0.7270652253452586,1.641431162211293e-07,0.43958811844459766
UNIPROT-BIOSENTVEC,0.34207104725890425,0.6052772529744652,0.43958811844459766,0.0006272970709410279,0.12671681294195583,0.00013181410814620527,5.920419841848927e-06,1.641431162211293e-07,1.0,1.0498693157283026e-05,3.8693780539160374e-07,1.641431162211293e-07,0.7648147973822815,1.641431162211293e-07
UNIPROT-BIOWORDVEC,0.0005149757801868702,0.0005612526815370036,0.0008150230719980542,1.760797532137509e-05,5.430954969750522e-06,1.146375679522861e-06,0.7648147973822815,1.098013028983655e-06,1.0498693157283026e-05,1.0,0.046763356296311634,3.8693780539160374e-07,0.0002077624183936483,1.641431162211293e-07
UNIPROT-PUBMED-BERT-AVG,1.8996807717673973e-06,1.1975339706728855e-06,3.5719564310072903e-06,1.641431162211293e-07,5.018680003928754e-07,1.641431162211293e-07,0.019464334053708916,1.8360843007811544e-05,3.8693780539160374e-07,0.046763356296311634,1.0,9.13476295611545e-06,1.641431162211293e-07,0.001355855863783392
UNIPROT-PUBMED-BERT-POOL,1.641431162211293e-07,1.641431162211293e-07,1.641431162211293e-07,1.641431162211293e-07,1.641431162211293e-07,1.641431162211293e-07,8.062178925873602e-07,0.7270652253452586,1.641431162211293e-07,3.8693780539160374e-07,9.13476295611545e-06,1.0,1.641431162211293e-07,0.2193690312671107
UNIPROT-PUBMED-BIOSENTVEC,0.6133159578256644,0.2840484426407175,0.542828188757971,0.0027845409890813267,0.20894692907538187,0.005809895757738547,4.874348199387935e-05,1.641431162211293e-07,0.7648147973822815,0.0002077624183936483,1.641431162211293e-07,1.641431162211293e-07,1.0,1.641431162211293e-07
UNIPROT-PUBMED-BIOWORDVEC,1.690478476263301e-07,1.9692542053632915e-07,1.690478476263301e-07,1.641431162211293e-07,1.641431162211293e-07,1.641431162211293e-07,9.803399226599684e-07,0.43958811844459766,1.641431162211293e-07,1.641431162211293e-07,0.001355855863783392,0.2193690312671107,1.641431162211293e-07,1.0
