,TFIDF-UNIPROT-1024,TFIDF-UNIPROT-256,TFIDF-UNIPROT-512,TFIDF-UNIPROT-PUBMED-1024,TFIDF-UNIPROT-PUBMED-256,TFIDF-UNIPROT-PUBMED-512,UNIPROT-BERT-AVG,UNIPROT-BERT-POOL,UNIPROT-BIOSENTVEC,UNIPROT-BIOWORDVEC,UNIPROT-PUBMED-BERT-AVG,UNIPROT-PUBMED-BERT-POOL,UNIPROT-PUBMED-BIOSENTVEC,UNIPROT-PUBMED-BIOWORDVEC
TFIDF-UNIPROT-1024,1.0,0.0027333554906414422,0.006822766290775259,0.05945538576289947,0.35557005916634665,0.2503542053028999,0.0010128936201300317,2.2271520667306448e-07,0.016327634089562414,0.0005643147488980753,2.6434293183796825e-05,2.2271520667306448e-07,0.6338219525821431,1.3172197420486173e-06
TFIDF-UNIPROT-256,0.0027333554906414422,1.0,0.3204681066691343,0.0026617875507537777,0.5604487522014572,0.07316305229996432,8.388400752559813e-05,2.2271520667306448e-07,0.8299980046922881,0.0052101154446422505,2.564341736400414e-06,2.2271520667306448e-07,0.8734505450933363,2.975833926614161e-07
TFIDF-UNIPROT-512,0.006822766290775259,0.3204681066691343,1.0,0.005991226163286259,0.8734505450933363,0.12840140818535223,0.00012995267321425972,2.2271520667306448e-07,0.44703073005400423,0.003306344219474935,1.2329907689652011e-05,2.2271520667306448e-07,0.7161415692382395,2.975833926614161e-07
TFIDF-UNIPROT-PUBMED-1024,0.05945538576289947,0.0026617875507537777,0.005991226163286259,1.0,0.015942902502338603,0.12824622950010908,3.781928666492198e-06,2.2271520667306448e-07,0.0010071439303693233,2.7562600566523904e-06,3.9946401146060825e-07,2.2271520667306448e-07,0.004545363836293475,2.2271520667306448e-07
TFIDF-UNIPROT-PUBMED-256,0.35557005916634665,0.5604487522014572,0.8734505450933363,0.015942902502338603,1.0,0.013798305517673309,0.000650665230397964,3.575091239897428e-07,0.3342350124509595,0.0006462396101513573,3.201848332726115e-05,2.2271520667306448e-07,1.0,3.575091239897428e-07
TFIDF-UNIPROT-PUBMED-512,0.2503542053028999,0.07316305229996432,0.12840140818535223,0.12824622950010908,0.013798305517673309,1.0,0.00046688568669997374,2.2271520667306448e-07,0.013798305517673309,0.0002468336135367228,4.810496793499318e-06,2.2271520667306448e-07,0.2713514930801274,2.8924902657555877e-07
UNIPROT-BERT-AVG,0.0010128936201300317,8.388400752559813e-05,0.00012995267321425972,3.781928666492198e-06,0.000650665230397964,0.00046688568669997374,1.0,2.2271520667306448e-07,0.00030894374655820263,0.9956412065709261,0.0054706658989317385,2.2271520667306448e-07,0.00013862880403485482,1.2696562932980237e-06
UNIPROT-BERT-POOL,2.2271520667306448e-07,2.2271520667306448e-07,2.2271520667306448e-07,2.2271520667306448e-07,3.575091239897428e-07,2.2271520667306448e-07,2.2271520667306448e-07,1.0,2.2271520667306448e-07,2.805551544850686e-07,7.44082554001609e-06,0.1212792421367213,2.2271520667306448e-07,0.13954978168041088
UNIPROT-BIOSENTVEC,0.016327634089562414,0.8299980046922881,0.44703073005400423,0.0010071439303693233,0.3342350124509595,0.013798305517673309,0.00030894374655820263,2.2271520667306448e-07,1.0,0.00035583002965382027,8.30888352172196e-06,2.2271520667306448e-07,0.21154004031983856,2.624770220647748e-07
UNIPROT-BIOWORDVEC,0.0005643147488980753,0.0052101154446422505,0.003306344219474935,2.7562600566523904e-06,0.0006462396101513573,0.0002468336135367228,0.9956412065709261,2.805551544850686e-07,0.00035583002965382027,1.0,0.03530936094521549,2.556704009674976e-07,0.009019596251362748,7.733688483991327e-06
UNIPROT-PUBMED-BERT-AVG,2.6434293183796825e-05,2.564341736400414e-06,1.2329907689652011e-05,3.9946401146060825e-07,3.201848332726115e-05,4.810496793499318e-06,0.0054706658989317385,7.44082554001609e-06,8.30888352172196e-06,0.03530936094521549,1.0,1.5741570391752768e-06,2.8646128387198224e-06,0.00018603148455271332
UNIPROT-PUBMED-BERT-POOL,2.2271520667306448e-07,2.2271520667306448e-07,2.2271520667306448e-07,2.2271520667306448e-07,2.2271520667306448e-07,2.2271520667306448e-07,2.2271520667306448e-07,0.1212792421367213,2.2271520667306448e-07,2.556704009674976e-07,1.5741570391752768e-06,1.0,2.2271520667306448e-07,0.00016525800386514797
UNIPROT-PUBMED-BIOSENTVEC,0.6338219525821431,0.8734505450933363,0.7161415692382395,0.004545363836293475,1.0,0.2713514930801274,0.00013862880403485482,2.2271520667306448e-07,0.21154004031983856,0.009019596251362748,2.8646128387198224e-06,2.2271520667306448e-07,1.0,2.2271520667306448e-07
UNIPROT-PUBMED-BIOWORDVEC,1.3172197420486173e-06,2.975833926614161e-07,2.975833926614161e-07,2.2271520667306448e-07,3.575091239897428e-07,2.8924902657555877e-07,1.2696562932980237e-06,0.13954978168041088,2.624770220647748e-07,7.733688483991327e-06,0.00018603148455271332,0.00016525800386514797,2.2271520667306448e-07,1.0
